GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RelationQualityMetrics,0,30,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ProjectionState,0,24,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RequirementSourceLinkDto,26,47,0,0,8,13,8,13,8,13
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ContextRef,0,36,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,TaxonomyDiscrepancy,0,12,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RecommendedElement,23,40,0,0,6,14,6,8,6,8
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ElementHistoryAggregation,33,0,2,0,3,0,3,0,2,0
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,DocumentParseResult,5,69,1,1,1,20,2,18,1,18
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,TaxonomyNodeDto,0,164,0,0,0,46,0,43,0,43
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ImpactElement,0,45,0,0,0,13,0,13,0,13
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RelationHypothesisDto,8,68,0,0,2,22,2,14,2,14
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RepositoryState,0,51,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,TopRejectedProposal,24,0,0,0,1,0,1,0,1,0
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ArchitectureRecommendation,0,77,0,0,0,20,0,15,0,15
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,TransferConflict,0,15,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,NodeOrigin,0,56,0,0,0,11,0,3,0,3
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,CoverageGap,19,27,0,0,5,10,5,5,5,5
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,SourceFragmentDto,14,59,0,0,4,17,4,17,4,17
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,SavedAnalysis,0,76,0,0,0,22,0,21,0,21
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ArchitectureReport,0,81,0,0,0,24,0,21,0,21
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ChunkingStrategy,0,21,0,0,0,4,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,SuggestedRelation,0,46,0,0,0,15,0,10,0,10
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,TransferSelection.TransferMode,0,21,0,0,0,4,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ApqcHierarchyNode,24,0,0,0,1,0,1,0,1,0
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ContextComparison.DiffSummary,0,39,0,0,0,2,0,2,0,2
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RequirementAnchor,15,21,0,0,4,8,4,4,4,4
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,HierarchicalChunk,0,45,0,0,0,13,0,13,0,13
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ViewContext,0,21,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,SemanticChange,0,21,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ArchiMateImportResult,0,71,0,0,0,21,0,19,0,19
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,PatternDetectionView,0,53,0,0,0,14,0,11,0,11
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ImpactRelationship,15,30,0,0,5,8,5,8,5,8
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ProfileInfo,0,18,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,WorkspaceRole,15,0,0,0,3,0,1,0,1,0
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,LlmCallDetail,0,59,0,0,0,17,0,17,0,17
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ChangeImpactView,4,75,0,0,1,20,1,16,1,16
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RequirementElementView,0,115,0,0,0,33,0,33,0,33
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,NodeGraphMetadata,0,21,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RequirementCandidate,23,33,0,0,6,12,6,6,6,6
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ProvenanceMetrics,15,0,0,0,1,0,1,0,1,0
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,TaxonomyRelationDto,0,73,0,0,0,21,0,21,0,21
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ArchitectureSummary.NextStep,0,12,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,AiStatusResponse,4,39,2,2,0,12,2,6,0,6
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ExplanationTrace.ScoreComponent,15,21,0,0,4,8,4,4,4,4
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RequirementRelationshipView,0,104,0,2,0,29,0,28,0,27
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,SourceVersionDto,0,66,0,0,0,19,0,19,0,19
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RelationSeedRow,0,59,1,6,0,8,1,5,0,2
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,GraphNeighborhoodView,4,70,0,0,1,19,1,16,1,16
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,AiExtractedCandidate,0,15,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RegulationArchitectureMatch,0,18,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ContextComparison,0,18,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,MissingRelation,23,33,0,0,6,12,6,6,6,6
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RelationProposalDto,0,94,0,0,0,27,0,27,0,27
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,DetectedPattern,44,42,0,0,8,13,8,4,8,4
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ContextMode,0,21,0,0,0,4,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,CoverageStatistics,0,27,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,EnrichedChangeImpactView,4,94,0,0,1,25,1,20,1,20
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,GapAnalysisView,0,72,0,0,0,19,0,15,0,15
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ContextHistoryEntry,0,15,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ApqcCoverageResult,0,18,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RequirementArchitectureView,0,112,0,0,0,30,0,25,0,25
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RelationOrigin,0,60,0,0,0,12,0,4,0,4
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,NodeCoverageEntry,0,9,0,0,0,1,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,AnalysisResult,4,101,0,0,1,25,1,19,1,19
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RelationTypeMetrics,18,0,0,0,1,0,1,0,1,0
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,AiAvailabilityLevel,0,21,0,0,0,4,0,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,IncompletePattern,19,27,0,0,5,10,5,5,5,5
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,ExplanationTrace,0,60,0,0,0,16,0,13,0,13
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,AnalysisProvenance,10,25,4,4,2,4,4,1,0,1
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,GraphSearchResult,19,27,0,0,7,10,5,5,5,5
Taxonomy Aggregate Coverage/taxonomy-domain,com.taxonomy.dto,RequirementImpactView,4,63,0,0,1,17,1,14,1,14
